---,Actor,Location,Rotation,Scale,Meshes
Row_0,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-116978.892696,Y=887164.224583,Z=7614.014103)","(Pitch=0.000000,Yaw=-89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_1,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-40186.404236,Y=877123.184723,Z=3023.557258)","(Pitch=0.000000,Yaw=-89.999999,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_2,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=40303.859431,Y=851422.461781,Z=5946.920475)","(Pitch=0.000000,Yaw=-130.107597,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_3,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=132733.092927,Y=841630.160278,Z=3899.707413)","(Pitch=0.000000,Yaw=-269.999998,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_4,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=209629.133919,Y=839563.338942,Z=2178.205141)","(Pitch=0.000000,Yaw=-130.107596,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_5,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=291849.522010,Y=849990.381821,Z=3115.620224)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_6,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=852204.907104,Y=589286.776354,Z=1306.998685)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_7,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=914350.971427,Y=853342.477058,Z=1430.525132)","(Pitch=0.000000,Yaw=-85.132818,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_8,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=777790.000000,Y=941570.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=50.000000,Y=30.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/Materials/Material_Water/Plane_Water/SM_water_plane_100x100_01.SM_water_plane_100x100_01'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/Materials/Material_Water/WaterTypes/RiverWater/MI_Water_River""')))"
Row_9,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=937790.000000,Y=690570.000000,Z=100.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=25.000000,Y=25.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/Materials/Material_Water/Plane_Water/SM_water_plane_100x100_01.SM_water_plane_100x100_01'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/Materials/Material_Water/WaterTypes/RiverWater/MI_Water_River""')))"
Row_10,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-41575.980715,Y=646693.654758,Z=2484.169568)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_11,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-41575.980875,Y=725466.244982,Z=2484.169568)","(Pitch=0.000000,Yaw=-72.692301,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_12,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-33358.677254,Y=808829.649199,Z=2484.169568)","(Pitch=0.000000,Yaw=-121.860849,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_13,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-108835.080409,Y=814837.412693,Z=5455.885004)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_14,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-123081.255753,Y=738613.992878,Z=5455.885004)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_15,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-121387.852620,Y=659396.845968,Z=5455.885004)","(Pitch=0.000000,Yaw=-96.299242,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
Row_16,/Script/CoreUObject.Class'/Script/Engine.BeyondMapStaticMeshActor',"(X=-197996.692883,Y=712441.104483,Z=5455.885004)","(Pitch=0.000000,Yaw=-179.346628,Roll=0.000000)","(X=1.000000,Y=1.000000,Z=1.000000)","((StaticMesh=/Script/Engine.StaticMesh'/Game/_Stalker_2/nature/formations/landscape_background/SM_env_landscape_background_01_a.SM_env_landscape_background_01_a'',Materials=(MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01""',MaterialInstanceConstant'""/Game/_Stalker_2/nature/formations/landscape_background/Materials/MI_env_landscape_background_01_ground""')))"
